"Metabolite.Name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"Xanthine",0.0231866979694346,0.0135697469152929,0.0890804296246032,0.115933489847173,0.0678487345764645,0.445402148123016,-0.00732449931526189,-0.348894452101181,20.3041004979957
"Vitamin B6",0.0000961270756617914,0.0000400472696975291,0.00026199111605021,0.000769016605294331,0.000320378157580233,0.00209592892840168,-0.000046965016918193,-0.00238814939334501,0.135266207854857
"Vitamin B5",0.000354419574245455,0.0000169431662187033,0.00646581566840147,0.0031897761682091,0.00015248849596833,0.0581923410156132,-0.000149134130098941,-0.0117047086815708,0.500160814264432
"Vitamin B3",0.0713733490728812,0.0404538960238196,0.144831662266369,0.428240094437287,0.242723376142918,0.868989973598216,-0.0250914788846375,-0.993087148661368,52.130954388117
"Vitamin B2",0.000025365224967628,0.00000202940576047212,0.000324814450128301,0.000431208824449676,0.0000344998979280261,0.00552184565218112,-0.0000167248407833989,-0.0040415337402122,0.14781584966895
"Vanillin",0.000889293948914189,0.000592698830791924,0.00305102262686579,0.00711435159131351,0.0047415906463354,0.0244081810149263,-0.000451271962682812,-0.0151912838068988,0.720857914627966
"Tryptophol",0.00013224936005328,0.0000227490383531976,0.00052425877913955,0.0013224936005328,0.000227490383531976,0.0052425877913955,-0.0000650618003548483,-0.00446018249757762,0.184689791949755
"Tryptophan",0.0234414268461839,0.00358501199536731,0.0687557937941477,0.257855695308023,0.0394351319490404,0.756313731735625,-0.0121673080336383,-0.960605612178877,41.0861530420329
"trans cinnamic acid",0.00000887954336443246,0.0000027955872918971,0.0000385089780317051,0.0000799158902798922,0.0000251602856270739,0.000346580802285346,-0.00000504442628000009,-0.000203995814431571,0.0107740008744024
"Sulfurol",0.0000610929495431068,0.0000335992439614764,0.000147936112166324,0.000366557697258641,0.000201595463768858,0.000887616672997945,-0.0000213796408640387,-0.00114475872179609,0.0542133977376394
"Sinapic Acid",0.0000593186148159239,0.0000193875979563776,0.00162621595006602,0.000652504762975163,0.000213263577520154,0.0178883754507262,-0.0000391822548881229,-0.00769321176136219,0.0214668427649151
"Retinoic Acid",0.00000676496698116046,0.00000384388212177811,0.0000159398289713113,0.000135299339623209,0.0000768776424355623,0.000318796579426227,-0.00000826359077018319,-0.000532513941896696,0.0126425169664892
"Pyridoxamine",0.000555489221528887,0.0000187745622465655,0.00503910136987142,0.00444391377223109,0.000150196497972524,0.0403128109589714,-0.000240119926700107,-0.0315091722211394,0.913299371556571
"Pyridoxal Phosphate",0.00114323693531949,0.000115426243448234,0.018391898594679,0.00914589548255592,0.000923409947585874,0.147135188757432,-0.000457302135254972,-0.0624917274217455,0.850014479197516
"Pyridoxal",0.0000821581836346558,0.0000207248689970914,0.00050450731300377,0.000657265469077246,0.000165798951976731,0.00403605850403016,-0.0000473286140323743,-0.00198370161021778,0.068195158147302
"Propionyl-L-carnitine",0.000764402144139473,0.000204947246668185,0.00223431222994857,0.00764402144139473,0.00204947246668185,0.0223431222994857,-0.00042547716032482,-0.0173559233185411,1.02341460835309
"Phenylalanine",0.0337668965081384,0.00536772824202324,0.15063509060718,0.303902068573246,0.0483095541782091,1.35571581546462,-0.0164533527110176,-0.952877211312873,37.7091831825265
"p-Coumoroyl-HSL",0.00000675126710992911,0.00000425729070483494,0.0000194723754576849,0.0000877664724290785,0.0000553447791628542,0.000253140880949904,-0.00000807023864481187,-0.000184597906001506,0.0000139107067608867
"p-Coumaric Acid",0.000128008848729436,0.0000200639133412002,0.00128744345283184,0.00115207963856493,0.000180575220070802,0.0115869910754865,-0.0000565111559300202,-0.00252197803243388,0.586107958677047
"Methylthioadenosine",0.000322055145300557,0.0000189532137680399,0.00105756923304679,0.00354260659830613,0.000208485351448439,0.0116332615635147,-0.000156112222300423,-0.00932032646235371,0.772492538775722
"Kynurenine",0.0000072071266290854,0.00000370994156737053,0.00171185746069966,0.000072071266290854,0.0000370994156737053,0.0171185746069966,-0.0000064830157808341,-0.00736214531426086,0.145676113292892
"Indole 3 Lactic Acid",0.0000102180946995538,0.00000519201478537159,0.000365484653915922,0.000112399041695092,0.0000571121626390875,0.00402033119307514,-0.00000926143093709442,-0.00132175638300547,0.00712045142391889
"Indole 3 carboxylic acid",0.0000254260244682104,0.0000110249774146389,0.000142164182451924,0.000228834220213894,0.0000992247967317505,0.00127947764206731,-0.0000152419243330312,-0.000394862270030673,0.0405131062791296
"Indole 3 acetamide",0.00000136897080398466,0.000000724507312485527,0.0000608655745810437,0.0000136897080398466,0.00000724507312485527,0.000608655745810437,-0.000000949073294361589,-0.000200106553028172,0.000933873117849793
"IAA",0.000236763191035238,0.0000242893145569023,0.000831656910285208,0.00236763191035238,0.000242893145569023,0.00831656910285208,-0.000136260657021584,-0.0078281558403364,0.328017695056826
"Hydroxo B12",0.00000762342232319511,0.00000163871485302955,0.0000837859045823177,0.000472652184038097,0.000101600320887832,0.00519472608410369,-0.0000308392827680602,-0.00300886589808183,0.183392467322975
"Glutathione Disulfide",0.0336754623419389,0.00194595349049872,0.170725061265033,0.673509246838778,0.0389190698099745,3.41450122530066,-0.0184480187283337,-2.36126021239851,69.4501083535279
"Glutathione",-1.35235294117647,-4.72306184012068,-0.919336349924585,-13.5235294117647,-47.2306184012068,-9.19336349924585,0.78584852058591,0.278096806047444,1.19851745264001
"Domoic Acid",0.0000384185909612359,0.00000173949683833682,0.000922085438287452,0.000576278864418538,0.0000260924525750524,0.0138312815743118,-0.000016989364671062,-0.00111516656711687,0.436152681457019
"Dimethyl-benzimidazole",0.00000115009786324688,0.000000216259419874663,0.0000133081188123606,0.0000103508807692219,0.00000194633477887196,0.000119773069311246,-0.000000419991701256071,-0.0000210842727182142,0.00413584759673936
"Dimethyl glycine",0.0521181087751861,0.0080460791479017,0.164303274052284,0.208472435100745,0.0321843165916068,0.657213096209135,-0.0113998898481874,-0.446123033217694,14.2497993490701
"Desthiobiotin",0.00000837211132565822,0.00000102461444202736,0.0000610539449074847,0.0000837211132565822,0.0000102461444202736,0.000610539449074847,-0.00000478082702491565,-0.000231017804146558,0.0122219189333295
"Coenzyme Q1",0.000180146636398802,0.000016759944936104,0.000578634496443066,0.00252205290958323,0.000234639229105456,0.00810088295020292,-0.000149600212734608,-0.00702812090767471,0.360230046669137
"Choline",0.0866329904056754,0.0158998175928541,0.290434215349137,0.433164952028377,0.0794990879642707,1.45217107674569,-0.021365645572315,-1.30528722844633,98.783369406033
"Caffeine",0.0000799990722706115,0.00000921815829055221,0.00201254592430098,0.000639992578164892,0.0000737452663244177,0.0161003673944079,-0.0000425887262222541,-0.00171809406418361,0.133220017509918
"C8-HSL",0.000000956086804766778,0.000000576819972871262,0.00000493970849384106,0.0000114730416572013,0.00000692183967445514,0.0000592765019260927,-0.000000695077404663897,-0.0000615380697559677,0.00169537972594718
"C6-HSL",0.00000294321419728082,0.000000904377087153053,0.0000325239863877548,0.0000294321419728082,0.00000904377087153053,0.000325239863877548,-0.00000167972400878668,-0.000187193605115748,0.00400204486956148
"C4-HSL",0.0000930526057583382,0.0000188163566723061,0.000988684606606906,0.000744420846066705,0.000150530853378449,0.00790947685285525,-0.0000545762778537454,-0.0015915565128739,0.121481913896096
"C14-HSL",0.00000663628490002624,0.00000453552213642054,0.0000334072517529487,0.000119453128200472,0.0000816393984555697,0.000601330531553077,-0.00000718229084585787,-0.000179780848634365,0.0000245420621459802
"C12-HSL",0.000000684004759162843,0.000000519946153592243,0.00000417366801515417,0.0000109440761466055,0.00000831913845747588,0.0000667786882424667,-0.000000530541003392597,-0.000024666701283967,0.000970758535842564
"C10-HSL",0.0000809514787619754,0.0000583302600675124,0.000970758646159894,0.00113332070266766,0.000816623640945174,0.0135906210462385,-0.0000700722634476959,-0.0029887853149311,0.000493640048439442
"Butyryl-L-carnitine",0.0000310228949682455,0.0000039947292916198,0.0000979996328979122,0.000341251844650701,0.0000439420222078178,0.00107799596187703,-0.000017438000246929,-0.000697180114893349,0.0592445056985487
"Betaine",-0.487882956835203,-269.198882360962,-0.173849366659731,-2.43941478417601,-1345.99441180481,-0.869246833298654,0.144882623482238,-308.828664136117,6.91036251401858
"Aminobenzoic Acid",0.000572304556818301,0.000381146121656416,0.00152350169069626,0.00400613189772811,0.00266802285159491,0.0106645118348738,-0.000254364523685816,-0.00838399593254162,0.429246281978431
"Agmatine",0.00353154672585321,0.000172016583106362,0.0583866951854496,0.0176577336292661,0.00086008291553181,0.291933475927248,-0.000899155703978516,-0.0631704895449054,1.66240358573854
"Adenosyl Methionine",0.00441058261956288,0.00028486021202862,0.046768852791663,0.0661587392934432,0.0042729031804293,0.701532791874945,-0.00123248666990685,-0.118578930374346,8.79502434747651
"Adenosyl Homocysteine",0.00141458080063746,0.000143202149726619,0.0120606553080446,0.0198041312089244,0.00200483009617266,0.168849174312624,-0.000599485872410275,-0.0868019394449479,2.78200363187326
"Abscisic Acid",0.00000264836448260436,0.00000102569227492437,0.0000057838441074619,0.0000397254672390655,0.0000153853841238656,0.0000867576616119285,-0.00000195702242563513,-0.0000911404740866198,0.0000122090073604071
"3OHC12-HSL",0.00000196319146615405,0.00000101735943927569,0.00000917947228542755,0.0000314110634584649,0.000016277751028411,0.000146871556566841,-0.00000203877012025229,-0.00009001459461872,0.00314339212820085
"3OC12-HSL",0.00000731693074308594,0.00000314375824595633,0.0000438371248673438,0.000117070891889375,0.0000503001319353012,0.000701393997877501,-0.00000635886996912332,-0.00010168215290175,0.0107890046821395
"3 Indolepropionic Acid",0.00000650039395162666,0.0000036028659185014,0.00007106702397896,0.0000715043334678933,0.0000396315251035154,0.00078173726376856,-0.00000442255858250488,-0.000462491671264584,0.0412637029301146
